BLOCKFACE_ID,LONGITUDE,LATITUDE,MS_SPACE_NUM,SS_SPACE_NUM,SPACE_NUM,OLD_RATE_AREA,OLD_RATE_AREA_id
0,-122.46475,37.7702,0,1.0,1.0,-,0
102021,-122.4602135,37.7832753,0,1.0,1.0,Area 3,1
102031,-122.460085,37.781496925,0,4.0,4.0,Area 3,1
102032,-122.4599501,37.78153854999999,0,4.0,4.0,Area 3,1
102041,-122.46005124999999,37.7809467,0,2.0,2.0,Area 3,1
102042,-122.4599143,37.7809664,0,1.0,1.0,Area 3,1
103021,-122.46129368000001,37.78334624600001,0,5.0,5.0,Area 3,1
103031,-122.46126140000001,37.7828797,0,2.0,2.0,-,0
103032,-122.46112080000002,37.782842828571425,0,7.0,7.0,Area 3,1
103132,-122.45974130000002,37.763215949999996,0,10.0,10.0,Area 3,1
104021,-122.46237123333331,37.783333299999995,0,9.0,9.0,Area 3,1
104022,-122.462231575,37.783322075,0,4.0,4.0,Area 3,1
104031,-122.46232762857142,37.782738585714284,0,7.0,7.0,Area 3,1
104032,-122.4622031,37.7829079,0,1.0,1.0,Area 3,1
104033,-122.46222769999999,37.78135713333333,0,3.0,3.0,Area 3,1
104034,-122.46209573333333,37.78142356666667,0,3.0,3.0,Area 3,1
104041,-122.462181325,37.78071195,0,4.0,4.0,Area 3,1
104042,-122.4620427,37.78069429999999,0,3.0,3.0,Area 3,1
105022,-122.46330037999999,37.783234879999995,0,5.0,5.0,Area 3,1
105031,-122.46340559999999,37.782785499999996,0,1.0,1.0,Area 3,1
105032,-122.46326865,37.782798425,0,4.0,4.0,Area 3,1
105033,-122.46330133333332,37.7813433,0,3.0,3.0,Area 3,1
105042,-122.46312593333334,37.7807756,0,3.0,3.0,Area 3,1
106021,-122.4645295,37.783466499999996,0,1.0,1.0,Area 3,1
106031,-122.46445863333334,37.78247181666667,0,6.0,6.0,Area 3,1
106032,-122.46434129999999,37.78275615,0,4.0,4.0,Area 3,1
107021,-122.46558184999999,37.78316023333334,0,6.0,6.0,Area 3,1
107022,-122.4654426,37.78316993333333,0,3.0,3.0,Area 3,1
107031,-122.46554354,37.78264006,0,5.0,5.0,Area 3,1
107032,-122.46538506923078,37.782365730769236,0,13.0,13.0,Area 3,1
107041,-122.46540240000002,37.7806317,0,5.0,5.0,Area 3,1
107042,-122.46526696666666,37.78067833333333,0,3.0,3.0,Area 3,1
107121,-122.46426325000002,37.7642955,0,2.0,2.0,Area 3,1
107122,-122.46410619999999,37.76433,0,1.0,1.0,Area 3,1
107131,-122.46423736,37.76392513,0,1.0,1.0,Area 3,1
107132,-122.46378545151514,37.76356805757577,636,0.0,636.0,Area 3,1
108021,-122.4666474,37.783048575,0,4.0,4.0,Area 3,1
108022,-122.4665248,37.7832751,0,2.0,2.0,Area 3,1
108031,-122.46660774999998,37.7824528,0,2.0,2.0,Area 3,1
108032,-122.46614019333333,37.782410646666676,214,1.0,215.0,Area 3,1
108033,-122.46652113333333,37.781255833333326,0,6.0,6.0,Area 3,1
108041,-122.46647176666666,37.78057283333334,0,3.0,3.0,Area 3,1
108042,-122.46633866666667,37.7806519,0,3.0,3.0,Area 3,1
108121,-122.46532969500001,37.764305745,0,2.0,2.0,Area 3,1
108122,-122.4651922,37.764322,0,1.0,1.0,Area 3,1
108131,-122.46572560882356,37.76361995294118,622,2.0,624.0,Area 3,1
108132,-122.46516076666666,37.76387106666667,0,3.0,3.0,Area 3,1
109021,-122.46771530000001,37.783035500000004,0,5.0,5.0,Area 3,1
109022,-122.46758156000001,37.78310458,0,5.0,5.0,Area 3,1
109031,-122.4676805,37.7825544,0,1.0,1.0,Area 3,1
109032,-122.46734685916668,37.78224368555555,256,12.0,268.0,Area 3,1
109033,-122.467583655,37.7812168075,0,4.0,4.0,Area 3,1
109034,-122.4674476375,37.7812531675,0,4.0,4.0,Area 3,1
109042,-122.46740336666669,37.780602200000004,0,3.0,3.0,Area 3,1
109121,-122.46641427499999,37.764528825,0,8.0,8.0,Area 3,1
109122,-122.46630641133333,37.76496850533335,0,15.0,15.0,Area 3,1
109131,-122.46631187142859,37.76291405714286,0,7.0,7.0,Area 3,1
109132,-122.466162313125,37.763054631875,0,16.0,16.0,Area 3,1
110021,-122.46878857000002,37.7829625,0,4.0,4.0,Area 3,1
110022,-122.46865294,37.78299208,0,5.0,5.0,Area 3,1
110031,-122.4687603,37.7825624,0,2.0,2.0,Area 3,1
110032,-122.46861544999999,37.782480750000005,0,2.0,2.0,Area 3,1
110034,-122.468518225,37.781138025,0,4.0,4.0,Area 3,1
110041,-122.4686102075,37.78050908,0,4.0,4.0,Area 3,1
110042,-122.468473155,37.7805067125,0,4.0,4.0,Area 3,1
110121,-122.46746329999999,37.764144349999995,0,2.0,2.0,Area 3,1
110122,-122.46733,37.7642199,0,2.0,2.0,Area 3,1
110131,-122.4674362,37.7637562,0,1.0,1.0,Area 3,1
110132,-122.46730390000002,37.7638465,0,2.0,2.0,Area 3,1
111021,-122.4698540775,37.782904185,0,4.0,4.0,Area 3,1
111022,-122.46971747500001,37.782929655000004,0,2.0,2.0,Area 3,1
111031,-122.46982852,37.7824873,0,2.0,2.0,Area 3,1
111032,-122.46968897142857,37.78247578428572,0,7.0,7.0,Area 3,1
111033,-122.46971932,37.78104118,0,5.0,5.0,Area 3,1
111034,-122.46958423333335,37.78108853333333,0,3.0,3.0,Area 3,1
112042,-122.47061715,37.78044155,0,4.0,4.0,Area 3,1
114271,-122.4692452,37.738071000000005,0,1.0,1.0,Area 3,1
114272,-122.46919055000001,37.7381735,0,2.0,2.0,Area 3,1
114281,-122.4687707,37.737699975,0,4.0,4.0,Area 3,1
114282,-122.46876705,37.737841474999996,0,4.0,4.0,Area 3,1
115031,-122.4740574,37.7808188,0,1.0,1.0,Area 3,1
115042,-122.47388289999999,37.780298933333334,0,3.0,3.0,Area 3,1
115131,-122.472841925,37.763508374999994,0,4.0,4.0,Area 3,1
115282,-122.47036520000002,37.7365199,0,2.0,2.0,Area 3,1
116031,-122.4751832,37.780776149999994,0,2.0,2.0,Area 3,1
116032,-122.47505106666667,37.78086953333333,0,3.0,3.0,Area 3,1
116041,-122.4751428,37.780220625,0,4.0,4.0,Area 3,1
116042,-122.4750115,37.7803221,0,2.0,2.0,Area 3,1
117031,-122.47625490000001,37.7807364,0,1.0,1.0,Area 3,1
117041,-122.4762179,37.780226899999995,0,1.0,1.0,Area 3,1
117042,-122.476075575,37.780176475,0,4.0,4.0,Area 3,1
117231,-122.473643986,37.743446938,0,5.0,5.0,Area 3,1
117232,-122.47350572333333,37.743451093333334,0,3.0,3.0,Area 3,1
117241,-122.4736029225,37.7428612775,0,4.0,4.0,Area 3,1
118031,-122.47733735454544,37.78089527272728,0,11.0,11.0,-,0
118032,-122.477196356,37.780862414,0,5.0,5.0,Area 3,1
118041,-122.47766048461538,37.779904651538466,430,0.0,430.0,Area 3,1
118231,-122.47470520000002,37.7432698,0,1.0,1.0,Area 3,1
118241,-122.4746766,37.742859599999996,0,3.0,3.0,Area 3,1
118242,-122.4745425,37.7429232,0,3.0,3.0,Area 3,1
119032,-122.47825576666666,37.780675900000006,0,3.0,3.0,Area 3,1
119041,-122.4783447,37.7799902,0,1.0,1.0,Area 3,1
119042,-122.4782058,37.779986949999994,0,2.0,2.0,Area 3,1
119232,-122.475575776,37.743596998,0,5.0,5.0,Area 3,1
119242,-122.47549001,37.742840075,0,2.0,2.0,Area 3,1
120031,-122.47947305000001,37.780717800000005,0,2.0,2.0,Area 3,1
120032,-122.47933065,37.7806668,0,2.0,2.0,Area 3,1
120041,-122.4794262,37.780016950000004,0,2.0,2.0,Area 3,1
120042,-122.4792933,37.78009635,0,2.0,2.0,Area 3,1
120121,-122.4784828875,37.76390192812499,276,7.0,283.0,Area 3,1
120122,-122.47813626,37.76383926,0,5.0,5.0,Area 3,1
120131,-122.47824714000001,37.76314672,0,5.0,5.0,Area 3,1
120132,-122.47809642,37.76326185999999,0,5.0,5.0,Area 3,1
120171,-122.47763876666666,37.7543685,0,3.0,3.0,Area 3,1
120172,-122.47748504999998,37.7544501,0,2.0,2.0,Area 3,1
120181,-122.47760670000001,37.753937,0,1.0,1.0,Area 3,1
120182,-122.47744399999999,37.753888399999994,0,1.0,1.0,Area 3,1
120231,-122.47685834999999,37.743202100000005,0,4.0,4.0,Area 3,1
120232,-122.476704525,37.743281525,0,4.0,4.0,-,0
120241,-122.476815072,37.742639714,0,5.0,5.0,-,0
120242,-122.4766682,37.74281716666666,0,3.0,3.0,Area 3,1
121041,-122.48049518,37.77995012,0,5.0,5.0,Area 3,1
121042,-122.48036088,37.780009740000004,0,5.0,5.0,Area 3,1
121121,-122.4793734,37.76370723333333,0,3.0,3.0,Area 3,1
121122,-122.47921213333332,37.763680433333334,0,3.0,3.0,Area 3,1
121131,-122.4793195,37.7632346,0,2.0,2.0,-,0
121132,-122.47915596666667,37.763175333333336,0,3.0,3.0,Area 3,1
121171,-122.47869711333333,37.754320146666664,0,3.0,3.0,Area 3,1
121172,-122.47856165,37.75436515,0,2.0,2.0,Area 3,1
121181,-122.47866856666667,37.75390973333334,0,3.0,3.0,Area 3,1
121182,-122.47853446666666,37.75397406666667,0,3.0,3.0,Area 3,1
121231,-122.4779202025,37.7431660675,0,4.0,4.0,Area 3,1
121232,-122.47778316666665,37.74318783333333,0,3.0,3.0,Area 3,1
121241,-122.47788931,37.74277025,0,1.0,1.0,Area 3,1
121242,-122.47775172333336,37.74278388,0,3.0,3.0,Area 3,1
122031,-122.48160736666667,37.78048153333334,0,3.0,3.0,Area 3,1
122032,-122.48147720000001,37.7805977,0,1.0,1.0,Area 3,1
122041,-122.4815631,37.779888799999995,0,1.0,1.0,Area 3,1
122121,-122.48042345,37.76366593666667,0,3.0,3.0,Area 3,1
122122,-122.48028889999999,37.7637244,0,1.0,1.0,Area 3,1
122131,-122.48039109000001,37.76320398,0,2.0,2.0,Area 3,1
122182,-122.47960425,37.753901649999996,0,2.0,2.0,Area 3,1
122231,-122.47899067400002,37.743146210000006,0,5.0,5.0,Area 3,1
122232,-122.47885146666668,37.74313683333333,0,3.0,3.0,Area 3,1
122241,-122.47899034,37.74259938,0,5.0,5.0,Area 3,1
122242,-122.47882510000001,37.7427596,0,2.0,2.0,Area 3,1
123021,-122.4828201,37.78233635,0,4.0,4.0,Area 3,1
123031,-122.48278839999999,37.781896966666665,0,3.0,3.0,Area 3,1
123032,-122.48254750000001,37.780493766666666,0,3.0,3.0,Area 3,1
123041,-122.48264209999999,37.77992275,0,2.0,2.0,Area 3,1
123042,-122.4825064,37.77996385,0,2.0,2.0,Area 3,1
123121,-122.48151488,37.7636009,0,5.0,5.0,Area 3,1
123132,-122.481305775,37.763187375,0,4.0,4.0,Area 3,1
124031,-122.4838831,37.7822433,0,1.0,1.0,Area 3,1
124032,-122.483749,37.7823066,0,1.0,1.0,Area 3,1
124041,-122.48385839999999,37.781846349999995,0,2.0,2.0,Area 3,1
124042,-122.48372189999999,37.78187543333333,0,3.0,3.0,Area 3,1
124121,-122.48258557142857,37.763560142857145,0,7.0,7.0,Area 3,1
124122,-122.48243080000002,37.763576699999994,0,3.0,3.0,Area 3,1
124131,-122.48255554285713,37.76308282857143,0,7.0,7.0,Area 3,1
124132,-122.48240036666665,37.7631424,0,3.0,3.0,Area 3,1
124252,-122.480966675,37.74262147500001,0,4.0,4.0,Area 3,1
125041,-122.484947425,37.781744575,0,4.0,4.0,Area 3,1
125042,-122.4846686,37.7803867,0,3.0,3.0,Area 3,1
125051,-122.48479639666668,37.77970433666667,0,3.0,3.0,Area 3,1
125121,-122.48363554999999,37.7634596,0,2.0,2.0,Area 3,1
125122,-122.48349946666667,37.76349543333333,0,3.0,3.0,Area 3,1
125132,-122.48346844,37.76305268,0,5.0,5.0,Area 3,1
125231,-122.48219881,37.74288115,0,1.0,1.0,Area 3,1
125232,-122.48206547999999,37.742972054999996,0,4.0,4.0,Area 3,1
125241,-122.4821801425,37.7426167425,0,4.0,4.0,Area 3,1
125242,-122.48206672,37.74259249199999,0,5.0,5.0,Area 3,1
126121,-122.48470889999999,37.76341633333333,0,3.0,3.0,Area 3,1
126131,-122.48467966666668,37.76299916666667,0,3.0,3.0,Area 3,1
126132,-122.48454546666669,37.76306146666667,0,3.0,3.0,Area 3,1
126231,-122.483272485,37.74287555,0,2.0,2.0,Area 3,1
126232,-122.483177155,37.7429185975,0,4.0,4.0,Area 3,1
126242,-122.4831473125,37.74252091,0,4.0,4.0,Area 3,1
127041,-122.48697133333333,37.780252733333334,0,3.0,3.0,Area 3,1
127042,-122.48683543333334,37.78029253333333,0,3.0,3.0,Area 3,1
127051,-122.4869216,37.779674,0,1.0,1.0,Area 3,1
127052,-122.48678775,37.77974019999999,0,2.0,2.0,Area 3,1
127122,-122.48564568500001,37.763413705,0,2.0,2.0,Area 3,1
127132,-122.48561770000002,37.763014399999996,0,1.0,1.0,Area 3,1
127231,-122.48439933,37.74282755,0,2.0,2.0,Area 3,1
127242,-122.48423370500001,37.742601135,0,2.0,2.0,Area 3,1
128041,-122.48802925,37.7801527,0,2.0,2.0,Area 3,1
128042,-122.4878951,37.78021495,0,2.0,2.0,Area 3,1
128052,-122.48785143333333,37.7796137,0,3.0,3.0,Area 3,1
129242,-122.48632179,37.74233374,0,1.0,1.0,Area 3,1
131171,-122.48940613333333,37.75386286666666,0,3.0,3.0,Area 3,1
131172,-122.4892861,37.75412869000001,0,10.0,10.0,Area 3,1
131181,-122.4893768,37.7534418,0,3.0,3.0,Area 3,1
131182,-122.4892421,37.7534969,0,3.0,3.0,Area 3,1
132171,-122.49048383333333,37.75382670000001,0,3.0,3.0,Area 3,1
132172,-122.49035525,37.75396975,0,2.0,2.0,Area 3,1
132181,-122.4904481,37.753314,0,1.0,1.0,Area 3,1
132182,-122.49031833333332,37.75344043333333,0,3.0,3.0,Area 3,1
133172,-122.49142466666667,37.753848999999995,0,3.0,3.0,Area 3,1
133182,-122.49133247142856,37.75334912857143,0,7.0,7.0,Area 3,1
136061,-122.4963265,37.775956266666675,0,3.0,3.0,Area 3,1
137061,-122.49740456666666,37.7759079,0,3.0,3.0,Area 3,1
137062,-122.49726835000001,37.77594295,0,2.0,2.0,Area 3,1
137071,-122.49736235,37.7754054,0,2.0,2.0,Area 3,1
137072,-122.497228675,37.77547415,0,4.0,4.0,Area 3,1
138061,-122.4984686,37.775855050000004,0,2.0,2.0,Area 3,1
138062,-122.49834337142856,37.77603917142857,0,7.0,7.0,Area 3,1
138071,-122.49843456666667,37.7753875,0,3.0,3.0,Area 3,1
138072,-122.49830500000002,37.7755119,0,2.0,2.0,Area 3,1
