,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,OSP_ID,PM_DISTRICT_ID,BLOCKFACE_ID,METER_TYPE,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,ORIENTATION,LONGITUDE,LATITUDE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,Neighborhoods,Analysis Neighborhoods
0,818-01520,-,0,ON,0,2,818012,SS,-,818,BRANNAN ST,152,315,-122.3891298,37.7842902,,,31,8
1,561-03160,-,0,ON,0,2,561032,SS,-,561,MAIN ST,316,225,-122.3914286,37.7889377,,,30,8
2,418-02270,-,0,ON,0,2,418021,SS,Area 1,418,FOLSOM ST,227,135,-122.3925023,37.7887466,,,30,8
3,386-02170,-,0,ON,0,1,386021,SS,-,386,DRUMM ST,217,270,-122.3969971,37.7960467,,,108,8
4,328-02330,-,0,ON,0,1,328021,SS,Area 1,328,BEALE ST,233,45,-122.3932193,37.7892027,,,108,8
5,470-05040,-,0,ON,0,1,470052,SS,-,470,HOWARD ST,504,315,-122.3962652,37.788451,,,32,8
6,202-05790,-,0,ON,0,2,202051,SS,-,202,02ND ST,579,45,-122.3922922,37.7821414,,,31,8
7,204-03230,-,0,ON,0,2,204031,SS,Area 1,204,04TH ST,323,45,-122.4005298,37.7816396,4th St: Unit 400 5th St:,4th St,32,34
8,330-05210,-,0,ON,0,2,330051,SS,-,330,BRANNAN ST,521,135,-122.3970078,37.7778196,,,32,34
9,330-03620,-,0,ON,0,2,330034,SS,-,330,BRANNAN ST,362,315,-122.3933961,37.7809196,,,31,8
10,204-05500,204-05006,50,ON,0,2,204052,MS,-,204,04TH ST,550,225,-122.3967591,37.778395,,,32,34
11,684-04199,684-04090,9,ON,0,14,684041,MS,-,684,TOWNSEND ST,419,135,-122.39766788,37.77480855,,,34,4
12,418-06100,-,0,ON,0,2,418062,SS,-,418,FOLSOM ST,610,315,-122.3971666,37.7852988,,,32,8
13,202-03290,-,0,ON,0,2,202031,SS,-,202,02ND ST,329,45,-122.3959081,37.7850294,,,30,8
14,324-03010,-,0,ON,0,1,324031,SS,-,324,BATTERY ST,301,270,-122.4002474,37.7942163,,,108,6
15,568-05240,-,0,ON,0,1,568052,SS,-,568,MISSION ST,524,315,-122.3982686,37.7893125,,,108,8
16,330-08100,-,0,ON,0,42,330082,SS,-,330,BRANNAN ST,810,315,-122.4036068,37.7728561,,,33,34
17,686-01190,-,0,ON,0,13,686011,SS,-,686,TURK ST,119,180,-122.411521,37.7830557,,,20,36
18,686-02110,-,0,ON,0,13,686021,SS,-,686,TURK ST,211,180,-122.4127716,37.7828952,,,20,36
19,442-02380,-,0,ON,0,13,442022,SS,-,442,GOLDEN GATE AVE,238,0,-122.4150872,37.7817757,,,20,36
20,701-18140,-,0,ON,0,15,701182,SS,-,701,VAN NESS AVE,1814,90,-122.4226323,37.7926742,,,105,32
21,815-13180,-,0,ON,0,11,815132,SS,-,815,BATTERY ST,1318,90,-122.4019774,37.803621,,,77,8
22,845-05210,-,0,ON,0,2,845051,SS,-,845,ILLINOIS ST,521,90,-122.38789341,37.76502615,,,34,4
23,845-05040,-,0,ON,0,2,845052,SS,-,845,ILLINOIS ST,504,270,-122.38810312,37.76540062,,,34,26
24,204-14080,-,0,ON,0,2,204142,SS,-,204,04TH ST,1408,270,-122.39125252,37.77026246,,,34,4
25,204-14100,-,0,ON,0,2,204142,SS,-,204,04TH ST,1410,270,-122.39124717,37.77019992,,,34,4
26,607-32560,916-00002,56,OFF,916,7,607322,MS,-,607,PIERCE ST,3252,90,-122.4393202,37.8001444,,,17,13
27,607-32940,-,0,OFF,916,7,607322,SS,-,607,PIERCE ST,3252,90,-122.439268,37.7998894,,,17,13
28,615-09002,920-00002,0,OFF,920,29,615091,MS,-,615,POTRERO AVE,993,90,-122.4060531,37.757816,,,54,20
29,607-32370,916-00003,37,OFF,916,7,607322,MS,-,607,PIERCE ST,3252,90,-122.4390167,37.799905,,,17,13
30,607-32800,-,0,OFF,916,7,607322,SS,-,607,PIERCE ST,3252,90,-122.439103,37.8001923,,,17,13
31,607-32680,916-00001,68,OFF,916,7,607322,MS,-,607,PIERCE ST,3252,90,-122.4391098,37.799934,,,17,13
32,701-10290,-,0,ON,0,15,701101,SS,-,701,VAN NESS AVE,1029,270,-122.4215042,37.7854816,,,100,39
33,440-10390,-,0,ON,0,15,440101,SS,-,440,GEARY ST,1039,180,-122.4210129,37.7856712,,,20,36
34,336-26130,-,0,ON,0,18,336261,SS,-,336,BUSH ST,2613,180,-122.4406267,37.7860398,,,103,30
35,652-16470,-,0,ON,0,18,652161,SS,-,652,SCOTT ST,1647,270,-122.43826095,37.78531012,,,103,15
36,701-08010,-,0,ON,0,15,701081,SS,-,701,VAN NESS AVE,801,270,-122.42101206,37.78304756,,,100,39
37,440-17470,-,0,ON,0,5,440171,SS,Area 3,440,GEARY BLVD,1747,180,-122.4326855,37.7841836,,,101,39
38,563-05170,-,0,ON,0,3,563051,SS,-,563,MCALLISTER ST,517,180,-122.4210518,37.7799345,,,21,9
39,211-00440,-,0,ON,0,14,211002,SS,-,211,11TH ST,44,225,-122.4176935,37.7746716,,,32,20
40,568-15440,-,0,ON,0,14,568152,SS,-,568,MISSION ST,1544,315,-122.418333,37.7734666,,,32,20
41,700-01600,-,0,ON,0,16,700012,SS,-,700,VALENCIA ST,160,270,-122.4224955,37.7700997,,,32,20
42,211-01070,-,0,ON,0,14,211011,SS,-,211,11TH ST,107,45,-122.4168177,37.7742067,,,32,34
43,211-00500,-,0,ON,0,14,211002,SS,-,211,11TH ST,50,225,-122.4176016,37.7745983,,,32,20
44,700-10050,-,0,ON,0,4,700101,SS,-,700,VALENCIA ST,1005,90,-122.4209909,37.7566974,,,53,20
45,700-02580,-,0,ON,0,16,700022,SS,-,700,VALENCIA ST,258,270,-122.4223249,37.7683186,,,37,20
46,540-00020,-,0,ON,0,16,540002,SS,-,540,LAGUNA ST,2,90,-122.4251024,37.7710409,,,27,9
47,569-22190,-,0,ON,0,16,569221,SS,-,569,MARKET ST,2219,135,-122.43147718,37.765322,,,38,5
48,569-23420,-,0,ON,0,16,569232,SS,-,569,MARKET ST,2342,315,-122.43461712,37.76318758,,,28,5
